,VLUE,MTUM,USMV,QUAL,LRGF
Ticker,VLUE,MTUM,USMV,QUAL,LRGF
Date,,,,,
2020-02-18,350700,827000,3810500,741600,158500
2020-02-19,567200,3795600,3086900,5644100,142700
2020-02-20,387900,1122000,3610600,1375700,110900
2020-02-21,408700,1108400,3561700,4847600,178300
2020-02-24,826600,1250600,6257800,1180400,138600
2020-02-25,763400,1942400,8344600,1325800,190400
2020-02-26,1099600,2128800,10318100,3605500,148700
2020-02-27,1139800,2673800,12483800,1943600,220200
2020-02-28,1796200,2381300,16727900,4074200,258300
2020-03-02,727500,2639800,12385900,3411300,192800
2020-03-03,684100,1653800,13061400,2987700,174300
2020-03-04,765200,1545300,6208100,2320500,157400
2020-03-05,720900,1144800,6288200,1424900,125300
2020-03-06,813500,1258900,7646200,1870000,322000
2020-03-09,855700,2251600,9272400,3206400,683900
2020-03-10,2713900,5786300,14800500,4144600,485400
2020-03-11,1220500,2367400,8619900,2998000,213200
2020-03-12,1649600,2102700,17075700,3878100,1325900
2020-03-13,1172200,2065900,12226100,4118200,398900
2020-03-16,853800,2008900,10590100,2575100,523300
2020-03-17,989000,2252900,10076100,3226100,637300
2020-03-18,1087200,1758600,11038600,3259800,474600
2020-03-19,857600,2013100,10031100,3322700,702000
2020-03-20,446800,1170700,8509000,2211900,1072300
2020-03-23,425200,2053900,17770700,2590700,614800
2020-03-24,1276800,2313200,10179000,2369300,788900
2020-03-25,961000,1863500,10330300,3679900,390400
2020-03-26,1113800,2227900,9797300,3189600,324500
2020-03-27,626400,1284300,11079700,2472500,301800
2020-03-30,769100,1118500,6507800,3603000,828700
2020-03-31,2001700,1086000,7946500,2733100,246200
2020-04-01,771500,1007300,9661700,1873500,280200
2020-04-02,678500,671800,7130000,1756400,420200
2020-04-03,432700,896000,6831000,1748300,197800
2020-04-06,566500,1619900,6520300,2474900,773400
2020-04-07,601900,1228200,7958700,7883800,503600
2020-04-08,543100,1357900,6343800,3358700,872700
2020-04-09,12894100,1222800,13717100,19224800,550600
2020-04-13,4347400,1003500,10152800,5263600,333600
2020-04-14,2336400,1074500,5934600,2715400,400900
2020-04-15,1308900,1027800,6124500,2006000,493600
2020-04-16,861900,722600,4493300,1622500,921400
2020-04-17,1194200,1062900,4636500,1733200,305100
2020-04-20,774700,887600,4061400,2107200,218600
2020-04-21,1042500,741100,7454400,1565900,191300
2020-04-22,1068800,748300,7480000,1771500,270200
2020-04-23,550800,708500,9228500,1617600,213200
2020-04-24,1249100,635200,6806300,1381100,216800
2020-04-27,1162200,860800,3559900,1812800,165500
2020-04-28,981200,1415200,3896000,2230900,241600
2020-04-29,1105200,1028800,4843800,2788900,397600
2020-04-30,1166600,958600,6051300,2355700,323300
2020-05-01,702300,1656900,5023200,1630100,308800
2020-05-04,806900,861200,4376100,1679100,346100
2020-05-05,781200,749700,4367000,1724600,649500
2020-05-06,496600,544100,3854200,1839500,330000
2020-05-07,1216700,2927000,6513500,3149000,249700
2020-05-08,686300,984200,3686100,1812400,162300
2020-05-11,738100,834900,4344100,1693100,160500
2020-05-12,360200,3344300,4046400,1695200,129900
2020-05-13,1476100,1368500,6051600,1780600,255500
2020-05-14,1294700,928600,6279300,1951700,883500
2020-05-15,381700,800600,4829100,1256700,142800
2020-05-18,895900,866400,11773500,1413000,177400
2020-05-19,749600,989100,4999500,1946400,217800
2020-05-20,319300,668700,4215800,1139600,145300
2020-05-21,386800,830000,4027100,815300,135600
2020-05-22,635300,943600,3108500,1073400,147000
2020-05-26,710000,1382100,3783300,1662900,181200
2020-05-27,588000,3086300,4797700,1326500,468600
2020-05-28,1072500,1060500,4834200,2391700,238400
2020-05-29,498200,738800,5423700,1285600,233900
2020-06-01,635800,643600,4566200,1033700,164000
2020-06-02,248200,850300,6048900,1110700,310700
2020-06-03,927100,713600,4014200,1283500,267400
2020-06-04,6552100,682500,5044400,2975300,135400
2020-06-05,4181600,622400,4598600,1183700,250400
2020-06-08,1654900,1682700,7238500,1701100,339000
2020-06-09,2154300,1095400,6987500,1907600,167200
2020-06-10,907300,1380500,4014300,1503000,179200
2020-06-11,808600,949200,6991000,1691300,227600
2020-06-12,993300,796700,7971800,1761300,128500
2020-06-15,556100,757500,6094100,1202200,206100
2020-06-16,1193300,862500,6850200,1014300,260200
2020-06-17,1176100,815200,5616700,1369400,86100
2020-06-18,428100,526100,3512300,1124100,81600
2020-06-19,754800,1173600,4170900,1103900,191900
2020-06-22,670800,538800,3444900,936300,120800
2020-06-23,691100,434100,3676900,962800,103100
2020-06-24,648200,734100,7563000,2237600,267500
2020-06-25,2905500,609300,5292200,1217900,142600
2020-06-26,531100,820000,7035900,1200100,252800
2020-06-29,637200,499200,3981700,1541000,822200
2020-06-30,465600,602600,4645400,1245500,182900
2020-07-01,347500,674300,4186400,1036000,263300
2020-07-02,588400,645800,4603600,715000,88000
2020-07-06,449200,582000,3211700,890300,83500
2020-07-07,752100,740300,3781700,1313600,150200
2020-07-08,1256200,954600,3899600,1403500,174600
2020-07-09,1270300,487700,4798200,881900,319700
2020-07-10,956900,561800,3248900,627400,119500
2020-07-13,554200,999900,4173300,703100,186500
2020-07-14,845900,954100,5447200,1310300,166300
2020-07-15,949600,585400,6180000,1518200,214300
2020-07-16,559600,674200,3270500,835900,116700
2020-07-17,440800,567000,2660500,859100,113500
2020-07-20,373400,518300,2895900,810700,160400
2020-07-21,612200,552400,7671700,974000,172900
2020-07-22,686000,395000,3733600,745400,126500
2020-07-23,617200,516100,4898400,1086200,115800
2020-07-24,496500,669600,3013300,769400,116100
2020-07-27,496200,442200,3418300,699500,88000
2020-07-28,272100,437500,3774100,758500,270100
2020-07-29,2386700,583600,3049600,1914500,67300
2020-07-30,661400,635000,4873900,1073000,91500
2020-07-31,572100,511000,3657100,985100,86700
2020-08-03,527100,643500,2992000,1074000,147300
2020-08-04,368100,714200,3534100,806900,96900
2020-08-05,444900,589400,2435100,710800,103100
2020-08-06,383000,392200,2427400,778000,134100
2020-08-07,400700,672800,3499100,626000,137700
