iShares MSCI USA Value Factor ETF
Fund Holdings as of,"Apr 25, 2025"
Inception Date,"Apr 16, 2013"
Shares Outstanding,"61,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"HIG","HARTFORD INSURANCE GROUP INC","Financials","Equity","14,903,311.16","0.24","14,903,311.16","125,491.00","118.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SW","SMURFIT WESTROCK PLC","Materials","Equity","14,488,226.17","0.23","14,488,226.17","343,079.00","42.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXT","TEXTRON INC","Industrials","Equity","14,379,899.82","0.23","14,379,899.82","210,171.00","68.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTB","M&T BANK CORP","Financials","Equity","14,368,422.82","0.23","14,368,422.82","85,838.00","167.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLDR","BUILDERS FIRSTSOURCE INC","Industrials","Equity","14,337,623.85","0.23","14,337,623.85","118,151.00","121.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Materials","Equity","14,098,692.48","0.23","14,098,692.48","237,192.00","59.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DGX","QUEST DIAGNOSTICS INC","Health Care","Equity","14,079,772.80","0.23","14,079,772.80","81,030.00","173.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACI","ALBERTSONS COMPANY INC CLASS A","Consumer Staples","Equity","14,040,870.13","0.23","14,040,870.13","640,843.00","21.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AKAM","AKAMAI TECHNOLOGIES INC","Information Technology","Equity","13,698,347.20","0.22","13,698,347.20","171,680.00","79.79","United States","NASDAQ","USD","1.00","USD","-"
"EG","EVEREST GROUP LTD","Financials","Equity","13,636,887.25","0.22","13,636,887.25","38,615.00","353.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DOW","DOW INC","Materials","Equity","13,614,970.60","0.22","13,614,970.60","453,530.00","30.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","13,573,378.32","0.22","13,573,378.32","332,844.00","40.78","United States","NASDAQ","USD","1.00","USD","-"
"SNA","SNAP ON INC","Industrials","Equity","13,255,993.08","0.21","13,255,993.08","42,933.00","308.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNH","CNH INDUSTRIAL N.V. NV","Industrials","Equity","13,223,796.60","0.21","13,223,796.60","1,136,065.00","11.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ES","EVERSOURCE ENERGY","Utilities","Equity","12,741,755.62","0.20","12,741,755.62","220,217.00","57.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CFG","CITIZENS FINANCIAL GROUP INC","Financials","Equity","12,619,819.44","0.20","12,619,819.44","340,524.00","37.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DVN","DEVON ENERGY CORP","Energy","Equity","12,304,906.35","0.20","12,304,906.35","392,501.00","31.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UTHR","UNITED THERAPEUTICS CORP","Health Care","Equity","12,089,647.58","0.19","12,089,647.58","41,491.00","291.38","United States","NASDAQ","USD","1.00","USD","-"
"SYF","SYNCHRONY FINANCIAL","Financials","Equity","11,746,641.90","0.19","11,746,641.90","228,445.00","51.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPT","CAMDEN PROPERTY TRUST REIT","Real Estate","Equity","11,432,832.00","0.18","11,432,832.00","100,288.00","114.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","11,350,057.78","0.18","11,350,057.78","11,350,058.00","100.00","United States","-","USD","1.00","USD","-"
"DAL","DELTA AIR LINES INC","Industrials","Equity","11,147,348.52","0.18","11,147,348.52","268,094.00","41.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GPN","GLOBAL PAYMENTS INC","Financials","Equity","11,141,118.24","0.18","11,141,118.24","153,713.00","72.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CF","CF INDUSTRIES HOLDINGS INC","Materials","Equity","10,928,987.72","0.18","10,928,987.72","139,276.00","78.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UHS","UNIVERSAL HEALTH SERVICES INC CLAS","Health Care","Equity","10,556,946.56","0.17","10,556,946.56","61,492.00","171.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LDOS","LEIDOS HOLDINGS INC","Industrials","Equity","10,182,214.80","0.16","10,182,214.80","69,880.00","145.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HBAN","HUNTINGTON BANCSHARES INC","Financials","Equity","10,097,784.00","0.16","10,097,784.00","701,235.00","14.40","United States","NASDAQ","USD","1.00","USD","-"
"FITB","FIFTH THIRD BANCORP","Financials","Equity","9,842,590.80","0.16","9,842,590.80","278,985.00","35.28","United States","NASDAQ","USD","1.00","USD","-"
"RF","REGIONS FINANCIAL CORP","Financials","Equity","9,837,442.68","0.16","9,837,442.68","485,081.00","20.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"L","LOEWS CORP","Financials","Equity","9,704,237.62","0.16","9,704,237.62","113,806.00","85.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FOX","FOX CORP CLASS B","Communication","Equity","9,405,723.90","0.15","9,405,723.90","205,410.00","45.79","United States","NASDAQ","USD","1.00","USD","-"
"SOLV","SOLVENTUM CORP","Health Care","Equity","9,317,323.54","0.15","9,317,323.54","141,022.00","66.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCNCA","FIRST CITIZENS BANCSHARES INC CLAS","Financials","Equity","8,303,806.42","0.13","8,303,806.42","4,667.00","1,779.26","United States","NASDAQ","USD","1.00","USD","-"
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Financials","Equity","8,250,983.15","0.13","8,250,983.15","429,515.00","19.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SWK","STANLEY BLACK & DECKER INC","Industrials","Equity","7,714,003.44","0.12","7,714,003.44","125,268.00","61.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","7,349,281.98","0.12","7,349,281.98","7,349,282.00","1.00","United States","-","USD","1.00","USD","-"
"EQH","EQUITABLE HOLDINGS INC","Financials","Equity","7,103,743.20","0.11","7,103,743.20","142,990.00","49.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KEY","KEYCORP","Financials","Equity","7,022,220.16","0.11","7,022,220.16","477,053.00","14.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALLY","ALLY FINANCIAL INC","Financials","Equity","6,882,683.16","0.11","6,882,683.16","209,073.00","32.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LUV","SOUTHWEST AIRLINES","Industrials","Equity","6,478,103.01","0.10","6,478,103.01","244,549.00","26.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMN","EASTMAN CHEMICAL","Materials","Equity","6,237,840.00","0.10","6,237,840.00","82,250.00","75.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
