iShares U.S. Equity Factor ETF
Fund Holdings as of,"Apr 25, 2025"
Inception Date,"Apr 28, 2015"
Shares Outstanding,"39,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MANH","MANHATTAN ASSOCIATES INC","Information Technology","Equity","4,772,493.46","0.21","4,772,493.46","27,337.00","174.58","United States","NASDAQ","USD","1.00","USD","-"
"MTD","METTLER TOLEDO INC","Health Care","Equity","4,753,633.83","0.21","4,753,633.83","4,477.00","1,061.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SN","SHARKNINJA INC","Consumer Discretionary","Equity","4,740,128.70","0.21","4,740,128.70","59,415.00","79.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","4,683,639.96","0.21","4,683,639.96","71,703.00","65.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","4,662,916.76","0.21","4,662,916.76","22,118.00","210.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","4,639,415.00","0.21","4,639,415.00","33,500.00","138.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","4,637,160.16","0.21","4,637,160.16","100,328.00","46.22","United States","NASDAQ","USD","1.00","USD","-"
"COOP","MR COOPER GROUP INC","Financials","Equity","4,567,953.92","0.20","4,567,953.92","39,136.00","116.72","United States","NASDAQ","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","4,547,385.88","0.20","4,547,385.88","49,579.00","91.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","4,538,355.21","0.20","4,538,355.21","49,389.00","91.89","United States","NASDAQ","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","4,484,114.64","0.20","4,484,114.64","195,642.00","22.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETSY","ETSY INC","Consumer Discretionary","Equity","4,479,054.48","0.20","4,479,054.48","97,668.00","45.86","United States","NASDAQ","USD","1.00","USD","-"
"RL","RALPH LAUREN CORP CLASS A","Consumer Discretionary","Equity","4,472,446.68","0.20","4,472,446.68","20,333.00","219.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RGA","REINSURANCE GROUP OF AMERICA INC","Financials","Equity","4,432,804.20","0.20","4,432,804.20","23,580.00","187.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WING","WINGSTOP INC","Consumer Discretionary","Equity","4,432,122.70","0.20","4,432,122.70","19,499.00","227.30","United States","NASDAQ","USD","1.00","USD","-"
"DECK","DECKERS OUTDOOR CORP","Consumer Discretionary","Equity","4,422,959.33","0.20","4,422,959.33","40,507.00","109.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IOT","SAMSARA INC CLASS A","Information Technology","Equity","4,415,079.42","0.20","4,415,079.42","112,001.00","39.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
